iter	Passed	Remaining
804	2342	567
805	2346	564
806	2348	561
807	2351	558
808	2354	555
809	2357	553
810	2360	550
811	2363	547
812	2367	544
813	2369	541
814	2373	538
815	2376	535
816	2379	533
817	2383	530
818	2385	527
819	2388	524
820	2392	521
821	2395	518
822	2398	515
823	2401	512
824	2404	509
825	2407	507
826	2410	504
827	2413	501
828	2416	498
829	2419	495
830	2422	492
831	2425	489
832	2428	486
833	2432	484
834	2435	481
835	2438	478
836	2442	475
837	2445	472
838	2449	469
839	2451	467
840	2454	464
841	2457	461
842	2460	458
843	2462	455
844	2465	452
845	2468	449
846	2471	446
847	2474	443
848	2477	440
849	2480	437
850	2483	434
851	2486	431
852	2489	428
853	2491	426
854	2494	423
855	2498	420
856	2501	417
857	2504	414
858	2507	411
859	2510	408
860	2513	405
861	2516	402
862	2519	399
863	2521	396
864	2525	394
865	2528	391
866	2531	388
867	2534	385
868	2537	382
869	2540	379
870	2542	376
871	2545	373
872	2548	370
873	2551	367
874	2554	364
875	2557	362
876	2560	359
877	2563	356
878	2566	353
879	2569	350
880	2573	347
881	2576	344
882	2579	341
883	2582	338
884	2585	335
885	2588	333
886	2591	330
887	2594	327
888	2598	324
889	2601	321
890	2604	318
891	2607	315
892	2610	312
893	2614	309
894	2617	307
895	2620	304
896	2623	301
897	2627	298
898	2629	295
899	2632	292
900	2635	289
901	2638	286
902	2642	283
903	2645	280
904	2648	278
905	2652	275
906	2656	272
907	2659	269
908	2662	266
909	2665	263
910	2668	260
911	2671	257
912	2674	254
913	2677	251
914	2681	249
915	2684	246
916	2687	243
917	2690	240
918	2693	237
919	2696	234
920	2699	231
921	2702	228
922	2704	225
923	2707	222
924	2710	219
925	2713	216
926	2716	213
927	2719	211
928	2722	208
929	2725	205
930	2728	202
931	2731	199
932	2734	196
933	2737	193
934	2739	190
935	2743	187
936	2746	184
937	2749	181
938	2752	178
939	2755	175
940	2759	173
941	2762	170
942	2764	167
943	2767	164
944	2770	161
945	2773	158
946	2776	155
947	2778	152
948	2783	149
949	2786	146
950	2789	143
951	2792	140
952	2794	137
953	2797	134
954	2800	131
955	2803	129
956	2806	126
957	2809	123
958	2812	120
959	2815	117
960	2817	114
961	2820	111
962	2823	108
963	2827	105
964	2829	102
965	2832	99
966	2835	96
967	2837	93
968	2841	90
969	2844	87
970	2847	85
971	2851	82
972	2853	79
